Code,Designation
B13-54723-7002R,GRANDE REUIR
B13-54723-7003R,GRANDE REUIR
B13-54723-2501R,GRANDE REUIR 
B13-54723-2751R,GRANDE REUIR 
B13-54723-7000R,GRANDE REUIR 
B13-54723-2500F,GRANDI
T004,GULISTIN FLEURIE
B42-0111/,GULIZAR .ZEMIN 4038
B42-0111.,GULIZAR .ZEMIN 8000
B42-0111,GULIZAR .ZEMIN 8003
B42-0100,GULIZAR 8003
B42-0100.,GULIZAR 9001
B42-0100..,GULIZAR 9003
B42-0100/,GULIZAR 9005
H-BEJ,H-764
H-DARK BROWN,H-764
H-N°02,H-764
H-N°03,H-764
H-N°04,H-764
H-N°08,H-764
H-N°09,H-764
H-N°10,H-764
H-N°12,H-764
H-N°17,H-764
H-N°22,H-764
H-N°24,H-764
V04-214876,HENNA KHAVE 
V03-214875,HENNA KIRMIZI
V01-214873,HENNA MAVI
V02-214874,HENNA PEMBE
V05-214877,HENNA TURUNCU
C07-H21D,HOUPS-21D.PINK
HTM4146-A1,HOURS A1
HTM4146-A10,HOURS A10 VERT
HTM4146-A11,HOURS A11 FS
HTM4146-A12,HOURS A12=0 FS
HTM4146-A13,HOURS A13
HTM4146-A14,HOURS A14=0FS
HTM4146-A2,HOURS A2=0FS
HTM4146-A3,HOURS A3
HTM4146-A4,HOURS A4=0 FS
HTM4146-A5,HOURS A5=FS/0
HTM4146-A6,HOURS A6
HTM4146-A7,HOURS A7 FS
HTM4146-A8,HOURS A8=0 FS
HTM4146-A9,HOURS A9
C07-H21,HOURS-21BLUE=0
C07-H07,HOURS-7=0
C07-H10,HOURS-C10=0
C07-H03,HOURS-C3=0
C07-H04,HOURS-C4 FS
C07-H05,HOURS-C5=0
C07-H06,HOURS-C6=0 VERT
18429,I004
18430,I004
18432,I004
F13,I010
F14,I010
6804,I011
6805,I011
6806,I011
7903,I050
7905,I050
7906,I050
C10/01,IMPRIMEE -BEJEL01
C10/02,IMPRIMEE -BEJEL02
C10/03,IMPRIMEE -BEJEL03
C10/04,IMPRIMEE -BEJEL04
C10/05,IMPRIMEE -BEJEL05
C10*01,IMPRIMEE -BISMARK01
C10*02,IMPRIMEE -BISMARK02
C10*03,IMPRIMEE -BISMARK03 BLEU
C10/0408,IMPRIMEE -BOLERO-21130 M
C10/0406,IMPRIMEE -BOLERO-21130 MOV
C10/0403,IMPRIMEE -BOLERO-21130 R
C10-01,IMPRIMEE -KOSA01 MARR/BEJ
C10-02,IMPRIMEE -KOSA02 ROZE/MARR
C10-04,IMPRIMEE -KOSA04 BLEU/VIOLET
C10 -0406,IMPRIMEE -KR-MENEKSE-21150
C10 -0404,IMPRIMEE -KR-MENEKSE-21150 VERT
C10*0401,IMPRIMEE -KR-PAPYA-21160 bleu
C10*04-B,IMPRIMEE -KR-PAPYA-21160 marron/BEJ
C10*0403,IMPRIMEE -KR-PAPYA-21160 MARRON/JAUNE
C10*0404,IMPRIMEE -KR-PAPYA-21160 ROSE/VIOLET
C10*04-A,IMPRIMEE -KR-PAPYA-21160 VERT
C10*0402,IMPRIMEE -KR-PAPYA-BEJ
C10_01,IMPRIMEE -TRIL01
C10_02,IMPRIMEE -TRIL02
